weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars
2012-05-13,Black Velvet,33820.125,306562.86
2012-05-13,Canadian,18544.725,245481.12
2012-05-13,Captain Morgan,19901.25,325059.58
2012-05-13,Crown Royal,5364.07500000001,150050.02
2012-05-13,Fireball,2507.125,39944.27
2012-05-13,Five,15835.475,100483.71
2012-05-13,Five Star,3482.1,23173.39
2012-05-13,Hawkeye,23063.375,145145.65
2012-05-13,Jack Daniels,5459.725,138251.67
2012-05-13,Jagermeister,3626.325,86568.99
2012-05-13,Jim Beam,3770.25,66502.83
2012-05-13,McCormick,255.75,1992.45
2012-05-13,Paramount,16294.625,115971.83
2012-05-13,Phillips,6499.25,41373.49
2012-05-13,Seagrams,7523.8,87830.6799999999
2012-05-13,Smirnoff,7470,110591.07
2012-05-20,Absolut,8350.8,175713.14
2012-05-20,Admiral Nelson,8527.425,89167.4499999999
2012-05-20,Bacardi,16316.605,221467.56
2012-05-20,Barton,9141.375,54611.95
2012-05-20,Black Velvet,41031.175,372043.08
2012-05-20,Canadian,21500.525,294821.720000001
2012-05-20,Captain Morgan,30149.625,485474.73
2012-05-20,Crown Royal,6939.2,198591.36
2012-05-20,Fireball,2860.75,46332.21
2012-05-20,Five,20886.775,132270.77
2012-05-20,Five Star,4505.85,30026.81
2012-05-20,Hawkeye,24659.5,156236.07
2012-05-20,Jack Daniels,8647.6,215999.95
2012-05-20,Jagermeister,5530.975,132374.39
2012-05-20,Jim Beam,4377.225,76410.68
2012-05-20,McCormick,286.25,2032.79
2012-05-20,Paramount,20457.25,145153.15
2012-05-20,Phillips,8420.35,54300.97
2012-05-20,Seagrams,9980.925,115659.74
2012-05-20,Smirnoff,11598.725,171990.44
2012-05-27,Absolut,5771.275,120244.39
2012-05-27,Admiral Nelson,4144.175,43205.26
2012-05-27,Bacardi,10472.662,142038.81
2012-05-27,Barton,6325.375,37819.59
2012-05-27,Black Velvet,23893.475,216752.18
2012-05-27,Canadian,13478.15,192489.3
2012-05-27,Captain Morgan,14702.325,238685.94
2012-05-27,Crown Royal,4626.4,129877.21
2012-05-27,Fireball,1807.25,29563.09
2012-05-27,Five,10919.6,70092.89
2012-05-27,Five Star,2696.125,18081.48
2012-05-27,Hawkeye,14141,89290.12
2012-05-27,Jack Daniels,4311.1,107590.06
2012-05-27,Jagermeister,3079.725,73461.53
2012-05-27,Jim Beam,2854.975,49674.13
2012-05-27,McCormick,162.5,1163.82
2012-05-27,Paramount,11237.875,79513.15
2012-05-27,Phillips,5339.375,33978.62
2012-05-27,Seagrams,6332.7,73650.37
2012-05-27,Smirnoff,7012.725,103473.89
2012-06-03,Absolut,7037.85,148502.98
2012-06-03,Admiral Nelson,4743.4,49857.8399999999
2012-06-03,Bacardi,10780.426,150795.1
2012-06-03,Barton,9616.875,57380.9500000001
2012-06-03,Black Velvet,16389.625,159008.15
2012-06-03,Canadian,22055.1,300452.210000001
2012-06-03,Captain Morgan,39142.125,643632.359999999
2012-06-03,Crown Royal,7390.72500000001,207422.64
2012-06-03,Fireball,2182.375,35263.09
2012-06-03,Five,16094.825,102661.66
2012-06-03,Five Star,3493.65,23492.89
2012-06-03,Hawkeye,18295.375,116200.12
2012-06-03,Jack Daniels,7127.85,184030.87
2012-06-03,Jagermeister,3570.175,85724.85
2012-06-03,Jim Beam,4214.1,73398.72
2012-06-03,McCormick,240.25,1930.22
2012-06-03,Paramount,16376.5,115950.83
2012-06-03,Phillips,10169.375,64767.69
2012-06-03,Seagrams,10105.825,114812.53
2012-06-03,Smirnoff,11268.125,161637.93
2012-06-10,Absolut,6286.9,134122.11
2012-06-10,Admiral Nelson,4130.325,43674.0999999999
2012-06-10,Bacardi,10504.725,144699.61
2012-06-10,Barton,7728.25,46060.61
2012-06-10,Black Velvet,16363.95,158566.76
2012-06-10,Canadian,25154.275,400067.970000001
2012-06-10,Captain Morgan,29754.299,484117.27
2012-06-10,Crown Royal,11735.75,326301.76
