weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars,TweetCount
2013-09-01,Bacardi,8619.625,122613.01,68
2013-09-01,Captain Morgan,15296.425,257878.13,6
2013-09-01,Crown Royal,5378.17500000001,154684.84,37
2013-09-01,Jack Daniels,9241.075,240118.37,1
2013-09-01,Jagermeister,4437.525,105540.85,15
2013-09-01,Seagrams,9683.375,113959.33,3
2013-09-01,Smirnoff,9699.325,150074.89,8
2013-09-08,Absolut,6238.65,136079.16,6
2013-09-08,Admiral Nelson,4396.125,46583.59,3
2013-09-08,Bacardi,8494.4,120238.33,55
2013-09-08,Captain Morgan,15181.5,255463.84,7
2013-09-08,Crown Royal,5135.45,147692.27,14
2013-09-08,Jagermeister,3594.075,86185.2500000001,24
2013-09-08,Seagrams,9251,110474.79,6
2013-09-08,Smirnoff,9613.525,148737.82,12
2013-09-15,Absolut,5836.55,125271.91,6
2013-09-15,Admiral Nelson,3992.875,42324.7099999999,3
2013-09-15,Bacardi,7982.975,114689.28,64
2013-09-15,Captain Morgan,15000.55,250915.59,8
2013-09-15,Crown Royal,5764.45,167583.31,26
2013-09-15,Jack Daniels,5757.9,152720.68,5
2013-09-15,Jagermeister,3566.525,85233.5700000001,4
2013-09-15,Seagrams,14403.95,167952.54,4
2013-09-15,Smirnoff,8124.65,124617.18,7
2013-09-22,Absolut,6155.4,129597.36,6
2013-09-22,Admiral Nelson,4135.5,43718.6199999999,3
2013-09-22,Bacardi,7800.325,112137.79,76
2013-09-22,Captain Morgan,13974.425,236150.87,7
2013-09-22,Crown Royal,4181.35,121475.82,22
2013-09-22,Jack Daniels,7601.45,200138.69,7
2013-09-22,Jagermeister,4282.875,101892.55,11
2013-09-22,Seagrams,12016.95,141094.89,17
2013-09-22,Smirnoff,8685.175,134016.52,7
2013-09-29,Absolut,13833.3,286819.84,10
2013-09-29,Admiral Nelson,8868.375,92205.67,1
2013-09-29,Bacardi,25409.95,339180.05,55
2013-09-29,Captain Morgan,40227.575,666701.949999998,5
2013-09-29,Crown Royal,14568.45,413834.55,40
2013-09-29,Jack Daniels,22450.525,588578.53,4
2013-09-29,Jagermeister,8814.275,211237.13,34
2013-09-29,Seagrams,9362.8,110726.8,8
2013-09-29,Smirnoff,16837.8,244761.88,8
2013-10-06,Absolut,8920.675,410010.36,3
2013-10-06,Admiral Nelson,8801.5,91377.3399999999,3
2013-10-06,Bacardi,23506.575,315333.49,56
2013-10-06,Captain Morgan,35672.825,592417.409999999,8
2013-10-06,Crown Royal,15096.825,433064.55,33
2013-10-06,Jack Daniels,20243.55,529322.84,6
2013-10-06,Jagermeister,8790.85,210710.64,9
2013-10-06,Seagrams,7096.575,85517.2300000001,10
2013-10-06,Smirnoff,16036.875,234930.32,10
2013-10-13,Absolut,6122.25,487460.53,6
2013-10-13,Admiral Nelson,6319,67083.7599999999,2
2013-10-13,Bacardi,8802.55,122194.59,52
2013-10-13,Captain Morgan,26763.55,448189.659999999,8
2013-10-13,Crown Royal,11780.125,338517.1,25
2013-10-13,Jack Daniels,6148.55,164944.68,6
2013-10-13,Jagermeister,4712.025,112743.67,9
2013-10-13,Seagrams,7609.9,91741.07,11
2013-10-13,Smirnoff,13734.75,198365.39,9
2013-10-20,Absolut,9783.175,238646.75,8
2013-10-20,Admiral Nelson,4549.25,48146.1599999999,2
2013-10-20,Bacardi,6799.2,95911.6900000001,47
2013-10-20,Captain Morgan,14552.85,245052.18,8
2013-10-20,Crown Royal,6578.15000000001,186512.21,22
2013-10-20,Jack Daniels,9891.75,257247.59,26
2013-10-20,Jagermeister,4337.05,104173.82,16
2013-10-20,Seagrams,7537.15,90784.15,20
2013-10-20,Smirnoff,7157.875,109325.02,9
2013-10-27,Absolut,5607.9,149883.95,4
2013-10-27,Admiral Nelson,4203.375,44450.9099999999,3
2013-10-27,Bacardi,6559.775,91666.48,74
2013-10-27,Captain Morgan,19729.05,331829.83,9
2013-10-27,Crown Royal,6024.32500000001,170324.55,18
2013-10-27,Jack Daniels,5589.825,147884.38,10
2013-10-27,Jagermeister,3951.75,94425.5400000002,2
2013-10-27,Seagrams,6806.025,81935.13,26
2013-10-27,Smirnoff,11192.75,167058.84,11
2013-11-03,Absolut,4364.525,97254.8900000002,4
2013-11-03,Admiral Nelson,4036.875,42799.9999999999,2
2013-11-03,Bacardi,7063.275,101283.63,33
2013-11-03,Captain Morgan,13635.925,231107.200000001,7
2013-11-03,Crown Royal,5748.67500000001,165606.63,14
2013-11-03,Jack Daniels,4651.45,123382.89,8
2013-11-03,Seagrams,7585.8,89567.7100000001,37
2013-11-03,Smirnoff,8714.2,135245.95,8
2013-11-10,Absolut,5094.375,115791.44,4
2013-11-10,Admiral Nelson,6257.875,65367.7799999999,3
2013-11-10,Bacardi,8093.525,115562.83,12
2013-11-10,Captain Morgan,18280.5,306169.36,8
2013-11-10,Crown Royal,7748.85000000001,220270.46,18
2013-11-10,Jack Daniels,6335.725,163645.66,14
2013-11-10,Jagermeister,3836.15,91905.4500000001,6
2013-11-10,Seagrams,7637.9,90179.4200000002,31
2013-11-10,Smirnoff,10374.1,156029.87,11
2013-11-17,Absolut,8272.6,192359.79,4
2013-11-17,Admiral Nelson,6828,71602.3799999999,3
2013-11-17,Bacardi,12319.425,172587.1,33
2013-11-17,Captain Morgan,26408.65,443132.129999999,7
2013-11-17,Crown Royal,9500.22499999999,276170.51,15
2013-11-17,Jack Daniels,7596.7,199209,15
2013-11-17,Jagermeister,5327.075,126574.72,1
2013-11-17,Seagrams,10184,121162.03,94
2013-11-17,Smirnoff,9962.7,151534.9,6
2013-11-24,Absolut,4633.025,115907,5
2013-11-24,Admiral Nelson,2037.5,21798.35,4
2013-11-24,Bacardi,3811.975,53825.68,33
2013-11-24,Captain Morgan,8136.525,136109.58,8
2013-11-24,Crown Royal,2595.625,76777.42,14
2013-11-24,Jack Daniels,2268.9,59860.22,5
2013-11-24,Jagermeister,1848.2,43956.82,13
2013-11-24,Seagrams,4725.3,52669.29,16
2013-11-24,Smirnoff,3854.45,59414.11,10
2013-12-01,Absolut,5297.85,122723.21,15
2013-12-01,Bacardi,11094.225,149184.44,278
2013-12-01,Captain Morgan,22657.575,382123.399999999,9
2013-12-01,Crown Royal,8930.6,262461.17,15
