eventdate,ActionGeo_FullName,tone,ActionGeo_Lat,ActionGeo_Long,geo,city,eventweek
2012-02-03,"Howe, Iowa, United States",1.9654088050314475,41.403,-94.3761,"41.403,-94.3761",STUART,2012-01-29
2012-02-03,"Pleasantville, Iowa, United States",1.9204695041684936,41.3858,-93.2694,"41.3858,-93.2694",PLEASANTVILLE,2012-01-29
2012-02-04,"Worth County, Iowa, United States",0.03766478342749526,43.3833,-93.2669,"43.3833,-93.2669",NORTHWOOD,2012-01-29
2012-02-04,"Farnhamville, Iowa, United States",2.412868632707775,42.2761,-94.4039,"42.2761,-94.4039",GOWRIE,2012-01-29
2012-02-04,"Holy Trinity Lutheran Church, Iowa, United States",2.23529411764706,42.2805,-94.40299999999999,"42.2805,-94.40299999999999",GOWRIE,2012-01-29
2012-02-04,"Columbia, Iowa, United States",8.71021775544389,41.1753,-93.1499,"41.1753,-93.1499",MELCHER-DALLAS,2012-01-29
2012-02-05,"Sioux Center, Iowa, United States",1.25,43.0797,-96.1756,"43.0797,-96.1756",SIOUX CENTER,2012-02-05
2012-02-05,"Cedar Falls, Iowa, United States",6.313131313131311,42.5278,-92.4455,"42.5278,-92.4455",CEDAR FALLS,2012-02-05
2012-02-05,"Riverside Cemetery, Iowa, United States",1.99004975124378,40.8806,-95.5272,"40.8806,-95.5272",MALVERN,2012-02-05
2012-02-06,"Iowa City Police Department, Iowa, United States",0.4255319148936167,41.6603,-91.5293,"41.6603,-91.5293",IOWA CITY,2012-02-05
2012-02-06,"Council Bluffs, Iowa, United States",0.3487915863582325,41.2619,-95.8608,"41.2619,-95.8608",COUNCIL BLUFFS,2012-02-05
2012-02-06,"Interstate, Iowa, United States",8.08823529411765,41.6961,-92.7269,"41.6961,-92.7269",GRINNELL,2012-02-05
2012-02-06,"Waterloo, Iowa, United States",3.2751091703056745,42.4928,-92.34299999999999,"42.4928,-92.34299999999999",WATERLOO,2012-02-05
2012-02-07,"Marshalltown Police Department, Iowa, United States",0.0,42.0503,-92.913,"42.0503,-92.913",MARSHALLTOWN,2012-02-05
2012-02-07,"Grafton, Iowa, United States",2.564102564102565,43.33,-93.0694,"43.33,-93.0694",MANLY,2012-02-05
2012-02-07,"Art Building, Iowa, United States",1.7601431980906923,43.0822,-96.1684,"43.0822,-96.1684",SIOUX CENTER,2012-02-05
2012-02-07,"Cedar Falls, Iowa, United States",2.504816955684005,42.5278,-92.4455,"42.5278,-92.4455",CEDAR FALLS,2012-02-05
2012-02-07,"Marietta, Iowa, United States",0.6925826630920467,42.083,-93.0005,"42.083,-93.0005",MARSHALLTOWN,2012-02-05
2012-02-07,"Hawkeye, Iowa, United States",0.40650406504065,42.9386,-91.9502,"42.9386,-91.9502",WEST UNION,2012-02-05
2012-02-07,"Kalona, Iowa, United States",4.07725321888412,41.4831,-91.706,"41.4831,-91.706",RIVERSIDE,2012-02-05
2012-02-07,"Bangor, Iowa, United States",2.1149397388412865,42.1733,-93.0935,"42.1733,-93.0935",STATE CENTER,2012-02-05
2012-02-07,"Le Mars, Iowa, United States",0.2716816870102494,42.7942,-96.1656,"42.7942,-96.1656",LE MARS,2012-02-05
2012-02-08,"Emmetsburg, Iowa, United States",6.281407035175881,43.1127,-94.68299999999999,"43.1127,-94.68299999999999",EMMETSBURG,2012-02-05
2012-02-08,"Cedar Falls, Iowa, United States",5.76923076923077,42.5278,-92.4455,"42.5278,-92.4455",CEDAR FALLS,2012-02-05
2012-02-08,"Washington House, Iowa, United States",1.8552024861241283,41.3639,-93.5622,"41.3639,-93.5622",INDIANOLA,2012-02-05
2012-02-08,"Pomeroy, Iowa, United States",2.1523178807947,42.5511,-94.6839,"42.5511,-94.6839",POMEROY,2012-02-05
2012-02-08,"West Liberty, Iowa, United States",0.9278350515463921,41.57,-91.2638,"41.57,-91.2638",WEST LIBERTY,2012-02-05
2012-02-08,"Marion County, Iowa, United States",2.7839643652561246,41.3333,-93.1002,"41.3333,-93.1002",KNOXVILLE,2012-02-05
2012-02-08,"Marshalltown Police Department, Iowa, United States",1.274787535410765,42.0503,-92.913,"42.0503,-92.913",MARSHALLTOWN,2012-02-05
2012-02-08,"Cedar River, Iowa, United States",3.939445387662704,41.2831,-91.3468,"41.2831,-91.3468",COLUMBUS JUNCTION,2012-02-05
2012-02-08,"Utica, Iowa, United States",1.541623843782115,40.8148,-91.8349,"40.8148,-91.8349",KEOSAUQUA,2012-02-05
2012-02-08,"Marshall County, Iowa, United States",0.15757638910766092,42.0333,-93.0008,"42.0333,-93.0008",MARSHALLTOWN,2012-02-05
2012-02-08,"Estherville, Iowa, United States",2.641165755919855,43.4016,-94.8328,"43.4016,-94.8328",ESTHERVILLE,2012-02-05
2012-02-09,"Trinity Evangelical Lutheran, Iowa, United States",3.18791946308725,41.8344,-94.0836,"41.8344,-94.0836",PERRY,2012-02-05
2012-02-09,"Ankeny, Iowa, United States",1.8840218324882936,41.7297,-93.6058,"41.7297,-93.6058",ANKENY,2012-02-05
2012-02-09,"Rubio, Iowa, United States",0.7497467071935157,41.2211,-91.9377,"41.2211,-91.9377",KEOTA,2012-02-05
2012-02-09,"Luverne, Iowa, United States",2.143622722400857,42.9083,-94.0738,"42.9083,-94.0738",CORWITH,2012-02-05
2012-02-09,"Rockford, Iowa, United States",0.0,43.0522,-92.9485,"43.0522,-92.9485",NORA SPRINGS,2012-02-05
2012-02-09,"Storm Lake, Iowa, United States",1.0638297872340448,42.6411,-95.2097,"42.6411,-95.2097",STORM LAKE,2012-02-05
2012-02-09,"Urbandale, Iowa, United States",2.2072936660268705,41.6267,-93.7122,"41.6267,-93.7122",URBANDALE,2012-02-05
2012-02-10,"Mason City, Iowa, United States",0.25161339196475235,43.1536,-93.20100000000001,"43.1536,-93.20100000000001",MASON CITY,2012-02-05
2012-02-10,"Indianapolis, Iowa, United States",1.9227767371331728,41.3969,-92.4335,"41.3969,-92.4335",NEW SHARON,2012-02-05
2012-02-10,"Northwood, Iowa, United States",1.424501424501425,43.4441,-93.221,"43.4441,-93.221",NORTHWOOD,2012-02-05
2012-02-10,"Boone County, Iowa, United States",0.11537990860735835,42.0333,-93.9336,"42.0333,-93.9336",BOONE,2012-02-05
2012-02-11,"Mills County, Iowa, United States",3.5714285714285694,41.0333,-95.6169,"41.0333,-95.6169",MALVERN,2012-02-05
